,Tweet Number,News Organization,Tweet,Compound Score,Positive Score,Negative Score,Neutral Score
144,44,@CBS,"RT @cbsallaccess: ""What I love about New York City - besides being the best city in the world - it's textural, it's real, it has everything…",0.8555,0.286,0.0,0.714
145,45,@CBS,RT @cbsallaccess: Who's ready to see @KimCattrall play @daniellemcam's (AKA Little Red Riding Hood) grandmother? #TellMeAStory #TCA18 #CBSA…,0.5994,0.234,0.0,0.766
146,46,@CBS,"RT @cbsallaccess: ""What I like about this show is that there's nothing else on TV like it right now."" -@kevwilliamson #TellMeAStory #TCA18…",0.6124,0.208,0.0,0.792
147,47,@CBS,"RT @MurphyBrownCBS: According to Candice Bergen and Diane English, there's never been a more perfect time to revive #MurphyBrown! https://t…",-0.2748,0.105,0.153,0.742
148,48,@CBS,"RT @MurphyBrownCBS: #MurphyBrown has always been a political show, and that won't change! Read on about how the show plans to cover hot top…",0.0,0.0,0.0,1.0
149,49,@CBS,"RT @FBICBS: ""People are going to get a very realistic view of how that office operates and the stresses. It's a zero-tolerance FBI office.…",-0.4588,0.0,0.125,0.875
150,50,@CBS,Stay tuned for more #CBS #TCA18 action! The @cbsallaccess panel is up next. 👍🏼 https://t.co/fcjiEwpaN0,0.0,0.0,0.0,1.0
151,51,@CBS,"RT @FBICBS: #FBIFam, this should cure your #SundayScaries! Check out the #FBI preview that was shown at the #CBS #TCA18 before the panel. h…",0.0,0.0,0.0,1.0
152,52,@CBS,"RT @TheNeighborhood: ""Once we shot the pilot, we knew that we had a great show."" -@CedEntertainer #TheNeighborhood #CBS",0.6249,0.204,0.0,0.796
153,53,@CBS,"RT @TheNeighborhood: ""It was so well done, as far as I was concerned, that it became a no brainer to do the show. I called the next morning…",0.1384,0.098,0.079,0.823
154,54,@CBS,"RT @TheNeighborhood: ""This is a show about people. This is a show about families, neighbors, friendships... At its core, this is a show abo…",0.0,0.0,0.0,1.0
155,55,@CBS,"RT @TheNeighborhood: We're here at the #CBS #TCA18 giving you the inside scoop on #TheNeighborhood with our stars @CedEntertainer, @Tichina…",0.4588,0.182,0.0,0.818
156,56,@CBS,RT @MurphyBrownCBS: That's a wrap on the #MurphyBrown panel at #TCA18! @TheNeighborhood is up next! #CBS,0.0,0.0,0.0,1.0
157,57,@CBS,"RT @MurphyBrownCBS: Diane English reveals ""We have an enormously famous person in our first episode,"" but keeps the secret under wraps! 🙊 #…",0.0,0.0,0.0,1.0
158,58,@CBS,"RT @MurphyBrownCBS: Diane English talks about how to stay topically relevant while writing scripts ahead of time &amp; also said, ""We have an i…",0.0,0.0,0.0,1.0
159,59,@CBS,RT @MurphyBrownCBS: All the feels! ❤️ #MurphyBrown returns to #CBS this fall! https://t.co/OvQk3CV49W,0.0,0.0,0.0,1.0
160,60,@CBS,"RT @MurphyBrownCBS: ""It's been very emotional for the old guys... We saw Murphy's townhouse and we all got tears in our eyes."" -Candice Ber…",-0.0018,0.073,0.074,0.853
161,61,@CBS,"Stay tuned, because @MurphyBrownCBS is up next at the #CBS #TCA18! https://t.co/0qdjQiFrwW",0.0,0.0,0.0,1.0
162,62,@CBS,"RT @FBICBS: “Even though I was scared to say yes, it was so clear you don’t say no. I knew I couldn’t say no. I couldn’t be more grateful,…",-0.0602,0.182,0.219,0.599
163,63,@CBS,"RT @FBICBS: What's it like for @JeremySisto coming back to a Dick Wolf show?

""It's one of the most stable ships you can be on... It's exci…",0.1761,0.16,0.105,0.735
